2025-08-31;14:19:47.357;[53] PING;14:19:47.755;[94/53] PONG (1)
2025-08-31;14:19:49.765;[54] PING;14:19:50.086;[96/54] PONG (1)
2025-08-31;14:19:51.190;[55] PING;14:19:51.480;[97/55] PONG (1)
2025-08-31;;;14:19:52.582;[98] keepalive
2025-08-31;14:19:54.234;[56] PING;14:19:55.057;[98/56] PONG (1)
2025-08-31;;;14:19:57.584;[99] keepalive
2025-08-31;14:19:56.271;[57] PING;14:19:58.272;(таймаут)
2025-08-31;14:19:58.605;[58] PING;14:19:58.795;[99/58] PONG (1)
2025-08-31;14:20:01.467;[59] PING;14:20:01.794;[101/59] PONG (1)
2025-08-31;;;14:20:02.585;[102] keepalive
2025-08-31;14:20:04.357;[60] PING;14:20:05.335;[103/60] PONG (1)
2025-08-31;14:20:06.471;[61] PING;14:20:07.425;[106/61] PONG (1)
2025-08-31;;;14:20:07.587;[107] keepalive
2025-08-31;14:20:09.508;[62] PING;14:20:09.819;[108/62] PONG (1)
2025-08-31;14:20:11.829;[63] PING;14:20:12.087;[110/63] PONG (1)
2025-08-31;;;14:20:12.588;[111] keepalive
2025-08-31;14:20:13.614;[64] PING;14:20:14.205;[112/64] PONG (1)
2025-08-31;14:20:16.417;[65] PING;14:20:17.129;[113/65] PONG (1)
2025-08-31;;;14:20:17.589;[114] keepalive
2025-08-31;14:20:18.897;[66] PING;14:20:19.215;[115/66] PONG (1)
2025-08-31;14:20:19.966;[67] PING;14:20:20.559;[117/67] PONG (1)
2025-08-31;;;14:20:22.590;[119] keepalive
2025-08-31;14:20:22.988;[68] PING;14:20:23.107;[119/68] PONG (1)
2025-08-31;14:20:23.486;[69] PING;14:20:24.486;[121/69] PONG (1)
2025-08-31;14:20:25.598;[70] PING;14:20:25.902;[122/70] PONG (1)
2025-08-31;;;14:20:27.591;[124] keepalive
2025-08-31;14:20:28.053;[71] PING;14:20:28.196;[124/71] PONG (1)
2025-08-31;14:20:30.853;[72] PING;14:20:31.745;[126/72] PONG (1)
2025-08-31;;;14:20:32.592;[127] keepalive
2025-08-31;14:20:33.994;[73] PING;14:20:34.835;[128/73] PONG (1)
2025-08-31;;;14:20:37.594;[130] keepalive
2025-08-31;14:20:37.022;[74] PING;14:20:37.779;[130/74] PONG (1)
2025-08-31;14:20:39.994;[75] PING;14:20:40.442;[132/75] PONG (1)
2025-08-31;;;14:20:42.596;[134] keepalive
2025-08-31;14:20:42.940;[76] PING;14:20:43.891;[135/76] PONG (1)
2025-08-31;14:20:45.475;[77] PING;14:20:46.475;[136/77] PONG (1)
2025-08-31;;;14:20:47.597;[138] keepalive
2025-08-31;14:20:49.142;[78] PING;14:20:49.276;[138/78] PONG (1)
2025-08-31;;;14:20:52.599;[141] keepalive
2025-08-31;14:20:52.117;[79] PING;14:20:52.679;[141/79] PONG (1)
2025-08-31;14:20:54.592;[80] PING;14:20:55.289;[143/80] PONG (1)
2025-08-31;;;14:20:57.599;[146] keepalive
2025-08-31;14:20:57.148;[81] PING;14:20:59.150;(таймаут)
2025-08-31;14:21:00.472;[82] PING;14:21:00.913;[146/82] PONG (1)
2025-08-31;14:21:01.781;[83] PING;14:21:02.075;[147/83] PONG (1)
2025-08-31;;;14:21:02.601;[148] keepalive
2025-08-31;14:21:03.095;[84] PING;14:21:03.504;[148/84] PONG (1)
2025-08-31;14:21:05.855;[85] PING;14:21:06.021;[150/85] PONG (1)
2025-08-31;14:21:06.574;[86] PING;14:21:06.923;[151/86] PONG (1)
2025-08-31;;;14:21:07.602;[152] keepalive
2025-08-31;14:21:08.046;[87] PING;14:21:08.503;[152/87] PONG (1)
2025-08-31;14:21:10.781;[88] PING;14:21:11.559;[155/88] PONG (1)
2025-08-31;;;14:21:12.603;[156] keepalive
2025-08-31;14:21:13.596;[89] PING;14:21:14.046;[158/89] PONG (1)
2025-08-31;14:21:15.788;[90] PING;14:21:16.110;[160/90] PONG (1)
2025-08-31;;;14:21:17.605;[161] keepalive
2025-08-31;14:21:17.422;[91] PING;14:21:19.424;(таймаут)
2025-08-31;14:21:21.245;[92] PING;14:21:21.796;[164/92] PONG (1)
2025-08-31;;;14:21:22.606;[165] keepalive
2025-08-31;14:21:24.296;[93] PING;14:21:24.803;[166/93] PONG (1)
2025-08-31;;;14:21:27.607;[168] keepalive
2025-08-31;14:21:27.483;[94] PING;14:21:27.671;[168/94] PONG (1)
2025-08-31;14:21:28.815;[95] PING;14:21:29.627;[170/95] PONG (1)
2025-08-31;14:21:30.787;[96] PING;14:21:31.780;[172/96] PONG (1)
2025-08-31;;;14:21:32.608;[173] keepalive
2025-08-31;14:21:33.284;[97] PING;14:21:34.151;[173/97] PONG (1)
2025-08-31;14:21:36.224;[98] PING;14:21:36.954;[176/98] PONG (1)
2025-08-31;;;14:21:37.609;[177] keepalive
2025-08-31;14:21:38.555;[99] PING;14:21:39.213;[177/99] PONG (1)
2025-08-31;14:21:40.999;[100] PING;14:21:41.770;[180/100] PONG (1)
2025-08-31;;;14:21:42.611;[181] keepalive
2025-08-31;14:21:43.466;[101] PING;14:21:43.889;[182/101] PONG (1)
2025-08-31;14:21:45.349;[102] PING;14:21:45.880;[183/102] PONG (1)
2025-08-31;;;14:21:47.612;[185] keepalive
2025-08-31;14:21:46.991;[103] PING;14:21:47.899;[185/103] PONG (1)
2025-08-31;14:21:50.346;[104] PING;14:21:51.144;[188/104] PONG (1)
2025-08-31;14:21:52.196;[105] PING;14:21:52.475;[189/105] PONG (1)
2025-08-31;;;14:21:52.613;[190] keepalive
2025-08-31;14:21:54.230;[106] PING;14:21:54.363;[190/106] PONG (1)
2025-08-31;14:21:57.036;[107] PING;14:21:57.264;[193/107] PONG (1)
2025-08-31;;;14:21:57.615;[194] keepalive
2025-08-31;14:21:58.917;[108] PING;14:22:00.919;(таймаут)
2025-08-31;;;14:22:02.616;[197] keepalive
2025-08-31;14:22:02.982;[109] PING;14:22:03.930;[197/109] PONG (1)
2025-08-31;14:22:05.195;[110] PING;14:22:05.755;[199/110] PONG (1)
2025-08-31;14:22:06.109;[111] PING;14:22:06.241;[200/111] PONG (1)
2025-08-31;;;14:22:07.617;[202] keepalive
2025-08-31;14:22:08.868;[112] PING;14:22:10.869;(таймаут)
2025-08-31;;;14:22:12.619;[203] keepalive
2025-08-31;14:22:13.686;[113] PING;14:22:15.687;(таймаут)
2025-08-31;14:22:16.486;[114] PING;14:22:16.916;[207/114] PONG (1)
2025-08-31;;;14:22:17.621;[208] keepalive
2025-08-31;14:22:19.276;[115] PING;14:22:19.786;[209/115] PONG (1)
2025-08-31;14:22:21.593;[116] PING;14:22:22.577;[212/116] PONG (1)
2025-08-31;;;14:22:22.622;[213] keepalive
2025-08-31;14:22:23.948;[117] PING;14:22:24.062;[213/117] PONG (1)
2025-08-31;14:22:24.854;[118] PING;14:22:26.856;(таймаут)
2025-08-31;;;14:22:27.623;[216] keepalive
2025-08-31;14:22:29.222;[119] PING;14:22:29.413;[217/119] PONG (1)
2025-08-31;;;14:22:32.625;[218] keepalive
2025-08-31;14:22:32.115;[120] PING;14:22:34.117;(таймаут)
2025-08-31;14:22:35.361;[121] PING;14:22:37.363;(таймаут)
2025-08-31;;;14:22:37.626;[221] keepalive
2025-08-31;14:22:38.744;[122] PING;14:22:38.908;[222/122] PONG (1)
